Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,H,xH,1B,x1B,2B,x2B,3B,x3B,HR,xHR,XBH,xXBH
259,1307056128,J. Wywoda,Jaden Wywoda,Wywoda,Jaden,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,16,372,318,76,82.0,53,54.7,15,18.2,2,0.0,6,7.1,23,21.6
260,1635844120,T. Schmitt,Tyler Schmitt,Schmitt,Tyler,P,University of Illinois,ILL,730163456,Illinois,BBC,R,R,15,364,309,82,79.6,55,53.9,21,16.8,2,0.0,4,7.1,27,20.3
261,1287363584,M. Phillips,Marcus Phillips,Phillips,Marcus,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,17,359,314,74,76.1,48,53.9,15,13.8,0,0.0,11,7.1,26,18.3
262,1296198400,J. Hyde,Jace Hyde,Hyde,Jace,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,14,287,250,66,68.1,46,48.0,11,11.7,1,0.0,8,7.1,20,16.4
263,1929502555,A. King,Aidan King,King,Aidan,P,University of Florida,FLA,730168320,Florida,BBC,L,R,17,304,272,58,60.0,45,41.1,10,10.3,0,0.0,3,7.1,13,15.6
264,1255285248,J. Phillips,Jacob Phillips,Phillips,Jacob,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,L,18,268,224,52,53.3,34,31.3,9,13.4,3,0.0,6,7.1,18,17.2
265,1336116224,J. Cunningham,Josh Cunningham,Cunningham,Josh,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,16,293,258,67,74.6,44,46.0,14,19.8,2,0.0,7,7.2,23,23.7
266,1064527734,B. Grasser,Brad Grasser,Grasser,Brad,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,267,219,57,48.2,34,29.1,16,10.7,1,0.0,6,7.2,23,14.6
267,1656400118,C. Crossland,Cade Crossland,Crossland,Cade,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,L,16,316,268,68,65.8,40,42.5,15,14.8,4,0.0,9,7.2,28,18.6
268,1107750912,C. Cross,Caleb Cross,Cross,Caleb,P,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,14,347,298,77,83.0,50,54.7,19,19.0,4,0.0,4,7.2,27,22.5
269,1132708864,N. Edders,Noah Edders,Edders,Noah,P,Troy University,TROY,730378496,Troy,BBC,R,R,14,283,245,59,63.2,33,43.1,15,11.8,1,0.0,10,7.2,26,16.4
270,1296162560,S. McAlinden,Shane McAlinden,McAlinden,Shane,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,14,286,240,69,73.1,48,51.0,14,13.4,0,0.0,7,7.2,21,17.3
271,1310892288,J. Woolfolk,Jay Woolfolk,Woolfolk,Jay,P,University of Virginia,UVA,5415,Virginia,BBC,R,R,13,279,243,63,54.9,45,33.8,12,12.4,1,0.0,5,7.3,18,17.1
272,1129425152,N. Higgins,Nolan Higgins,Higgins,Nolan,P,Michigan State University,MSU,1551,Michigan State,BBC,R,R,15,297,244,69,77.4,48,55.4,11,13.3,1,0.0,9,7.3,21,16.9
273,1312690944,R. Eikhoff,Riley Eikhoff,Eikhoff,Riley,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,17,370,348,91,91.0,69,66.8,13,15.4,2,0.0,7,7.3,22,21.4
274,1227145728,B. Gomez,Brandon Gomez,Gomez,Brandon,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,L,15,322,269,69,70.4,46,49.5,12,12.2,1,0.0,10,7.3,23,16.3
275,1310641921,G. Jones,Gavin Jones,Jones,Gavin,P,Kent State University,KENT,730315008,Kent State,BBC,R,R,15,331,271,67,73.2,43,47.7,9,16.4,2,0.0,13,7.3,24,19.4
276,1749819658,B. Kimball,Blake Kimball,Kimball,Blake,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,18,338,291,84,83.1,49,54.6,18,19.5,6,0.0,11,7.3,35,23.1
277,1263117312,C. Kirk,Corbin Kirk,Kirk,Corbin,P,Utah Valley University,UVU,730263552,Utah Valley,BBC,L,L,16,376,326,96,87.0,67,59.6,23,18.7,0,0.0,6,7.3,29,22.6
278,1254189056,N. Rizzo,Nicholas Rizzo,Rizzo,Nicholas,P,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,19,259,217,60,69.8,38,49.5,14,12.1,0,0.0,8,7.4,22,16.3
279,1287055616,E. Albert,Eddie Albert,Albert,Eddie,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,10,247,204,64,54.8,39,37.0,15,9.2,2,0.0,8,7.4,25,13.7
280,1279246592,J. LaBoy,Jorhan LaBoy,LaBoy,Jorhan,P,Alabama State University,ALST,4765,Alabama State,BBC,L,L,17,404,369,97,92.5,63,63.8,19,18.4,3,0.0,12,7.4,34,23.5
281,1239091969,J. Schaeffer,Jared Schaeffer,Schaeffer,Jared,P,University of Akron,AKR,540536064,Akron,BBC,R,R,14,360,320,84,85.7,56,60.7,18,16.2,1,0.0,9,7.4,28,21.0
282,1138165504,C. Aoki,Caden Aoki,Aoki,Caden,P,University of Southern California,USC,5047,USC,BBC,R,R,17,405,377,93,110.1,62,79.7,22,21.1,0,0.0,9,7.4,31,26.5
283,1310787840,O. Proksch,Owen Proksch,Proksch,Owen,P,Duke University,DUKE,730336256,Duke,BBC,S,L,19,290,241,54,62.8,38,43.0,7,11.2,0,0.0,9,7.4,16,15.4
284,1233795610,R. Cole,Ryan Cole,Cole,Ryan,P,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,14,297,245,73,66.8,46,45.1,16,13.2,1,0.0,10,7.5,27,17.1
285,1371725069,M. Tripure,Max Tripure,Tripure,Max,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,14,332,274,75,71.0,47,49.1,17,12.8,5,0.0,6,7.5,28,16.7
286,1100074752,D. James,David James,James,David,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,13,245,205,60,76.5,40,54.3,11,13.4,0,0.0,9,7.5,20,17.5
287,1279325440,G. Gaeckle,Gabe Gaeckle,Gaeckle,Gabe,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,19,308,268,63,62.3,45,42.5,9,11.0,2,0.0,7,7.5,18,16.1
288,1174671104,C. Doorn,Carter Doorn,Doorn,Carter,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,14,290,250,67,62.4,41,38.5,19,14.9,1,0.0,6,7.5,26,19.3
289,1116320256,A. Sachais,Alec Sachais,Sachais,Alec,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,21,232,198,47,42.5,30,24.6,9,9.2,2,0.0,6,7.5,17,14.2
290,1085401856,C. Byers,Carson Byers,Byers,Carson,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,23,320,277,59,75.2,38,50.3,16,16.0,1,0.0,4,7.5,21,20.4
291,1216329728,N. Robb,Nicholas Robb,Robb,Nicholas,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,367,331,109,108.3,87,83.5,14,15.8,2,0.0,6,7.5,22,21.0
292,1099789056,H. Holcombe,Huxley Holcombe,Holcombe,Huxley,P,Cornell University,COR,730298624,Cornell,BBC,L,L,11,274,224,65,63.2,47,44.6,10,10.0,1,0.0,7,7.6,18,14.4
293,1230322309,D. Wright,Davis Wright,Wright,Davis,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,15,383,338,90,90.1,65,63.5,18,17.4,1,0.0,6,7.6,25,22.0
294,1130372096,C. Harris,Connor Harris,Harris,Connor,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,15,327,301,99,86.9,59,56.4,23,20.9,3,0.0,14,7.6,40,26.2
295,1332975104,D. Cohen,Daniel Cohen,Cohen,Daniel,P,Yale University,YALE,730334464,Yale,BBC,R,R,13,271,232,60,62.7,37,39.5,17,14.3,1,0.0,5,7.6,23,18.7
296,1267252480,G. Theis,Gavin Theis,Theis,Gavin,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,16,392,338,89,93.9,65,67.9,15,16.7,2,0.0,7,7.6,24,21.0
297,1229117952,Z. Willingham,Zach Willingham,Willingham,Zach,P,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,14,333,282,72,80.5,53,55.4,11,16.0,0,0.0,8,7.6,19,20.0
298,1097588224,J. Dzierwa,Joseph Dzierwa,Dzierwa,Joseph,P,Michigan State University,MSU,1551,Michigan State,BBC,L,L,15,372,339,68,78.9,49,53.2,13,16.2,2,0.0,4,7.6,19,21.8
299,1196798720,C. Keshock,Cameron Keshock,Keshock,Cameron,P,Samford University,SAM,730386432,Samford,BBC,R,R,15,366,307,83,83.1,58,59.6,15,14.5,1,0.0,9,7.6,25,18.6
300,1142669377,J. Murray,Jake Murray,Murray,Jake,P,Campbell University,CAMP,730187776,Campbell,BBC,L,L,15,284,228,50,45.7,29,27.7,13,9.5,1,0.0,7,7.7,21,13.8
301,1292523520,W. Tobin,Will Tobin,Tobin,Will,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,L,12,213,175,50,48.0,31,28.8,9,10.7,0,0.0,10,7.7,19,15.1
302,1092684544,M. Heer,Mitchell Heer,Heer,Mitchell,P,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,12,274,248,60,69.4,44,47.3,9,13.0,0,0.0,7,7.7,16,18.7
303,1069409302,Z. Danielson,Zane Danielson,Danielson,Zane,P,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,L,11,253,208,56,55.8,34,33.0,10,13.6,2,0.0,10,7.7,22,17.5
304,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,228,194,53,54.4,34,32.8,11,12.5,2,0.0,6,7.7,19,17.2
305,1238291968,T. Murphy,Tyler Murphy,Murphy,Tyler,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,13,285,252,78,76.0,60,52.7,11,14.4,0,0.0,7,7.7,18,19.5
306,1310416128,L. Finley,Leighton Finley,Finley,Leighton,P,University of Georgia,UGA,226,Georgia,BBC,R,R,16,302,259,56,59.8,32,37.9,11,12.7,1,0.0,12,7.7,24,17.5
307,1310369536,B. Peterson,Brandon Peterson,Peterson,Brandon,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,L,R,15,286,237,68,73.4,45,51.3,14,12.9,1,0.0,8,7.7,23,17.0
308,1287083776,B. Young,Brian Young,Young,Brian,P,Rider University,RID,730174976,Rider,BBC,L,L,14,382,335,83,99.0,63,55.8,14,33.9,1,0.0,5,7.7,20,36.5
309,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,13,369,329,103,104.4,82,76.2,17,18.7,1,0.0,3,7.7,21,23.6
310,1271054080,J. Frost,Jacob Frost,Frost,Jacob,P,Kansas State University,KSU,730270464,Kansas State,BBC,L,L,18,316,260,62,69.1,34,43.3,18,16.3,3,0.0,7,7.7,28,19.8
311,1100149248,P. Schmitz,Paul Schmitz,Schmitz,Paul,P,University of Houston,HOU,3030,Houston,BBC,R,R,14,275,237,65,65.4,45,43.8,11,12.3,3,0.0,6,7.8,20,17.3
312,1231225856,J. Salinas,Josh Salinas,Salinas,Josh,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,13,311,273,93,76.5,61,53.6,18,13.8,1,0.0,13,7.8,32,18.9
313,1016358398,B. Bouchard,Brady Bouchard,Bouchard,Brady,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,18,288,249,89,77.9,59,51.2,20,17.4,0,0.0,10,7.8,30,21.8
314,1152945664,A. Eyanson,Anthony Eyanson,Eyanson,Anthony,P,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,20,448,403,88,85.5,64,57.1,15,18.8,1,0.0,8,7.8,24,23.9
315,1097108340,C. Bagwell,Cam Bagwell,Bagwell,Cam,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,348,328,72,85.3,56,59.8,8,16.1,2,0.0,6,7.8,16,22.5
316,1299957248,J. Ackerman,Jess Ackerman,Ackerman,Jess,P,Mercer University,MER,730240512,Mercer,BBC,L,L,18,315,257,62,64.1,41,42.8,11,12.3,0,0.0,10,7.9,21,16.4
317,1084209920,R. Reed,Ryan Reed,Reed,Ryan,P,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,L,14,327,293,84,78.2,59,57.3,14,11.7,1,0.0,10,7.9,25,17.6
318,1265428992,T. Chadwick,Tyrelle Chadwick,Chadwick,Tyrelle,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,14,338,296,76,84.9,53,59.8,14,15.7,2,0.0,7,7.9,23,20.7
319,1196196955,D. Morrill,Dylan Morrill,Morrill,Dylan,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,17,250,214,53,57.6,37,38.0,9,10.5,0,0.0,7,7.9,16,15.7
320,1334314752,A. Brouwer,Adam Brouwer,Brouwer,Adam,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,13,310,269,76,72.3,58,51.4,11,11.7,1,0.0,6,7.9,18,17.0
321,1623538787,C. Burke,Clayton Burke,Burke,Clayton,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,17,311,263,68,57.3,43,36.1,11,11.8,2,0.0,12,7.9,25,16.7
322,1201053184,G. Braunecker,Gavin Braunecker,Braunecker,Gavin,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,L,15,305,281,70,68.8,45,46.3,16,12.9,1,0.0,8,7.9,25,19.2
323,1306838784,S. Seid,Spencer Seid,Seid,Spencer,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,16,243,213,51,57.4,34,36.0,9,12.4,2,0.0,6,7.9,17,17.8
324,1296180224,L. Schmidt,Logan Schmidt,Schmidt,Logan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,19,298,266,75,72.6,52,46.7,10,16.3,2,0.0,11,7.9,23,21.6
325,1310590208,M. Heuer,Mac Heuer,Heuer,Mac,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,14,243,213,65,62.2,38,39.0,15,14.1,6,0.0,6,7.9,27,19.3
326,1136957440,W. Perkins,Wilson Perkins,Perkins,Wilson,P,Davidson College,DAV,730363136,Davidson,BBC,R,R,15,385,337,101,85.6,78,63.5,12,12.6,0,0.0,11,7.9,23,17.9
327,1336664320,J. Gilleran,James Gilleran,Gilleran,Jimmy,P,Stonehill College,SC,730238464,Stonehill,BBC,R,R,14,352,292,81,80.7,53,49.0,18,22.1,2,0.0,8,8.0,28,25.0
328,1320920832,J. Volini,Joey Volini,Volini,Joey,P,Florida State University,FSU,101,Florida State,BBC,L,L,16,357,319,76,81.1,49,57.1,18,14.6,1,0.0,8,8.0,27,20.1
329,1188623261,E. DeRossi,Eli DeRossi,DeRossi,Eli,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,14,307,246,57,68.9,32,41.6,15,17.6,2,0.0,8,8.0,25,20.5
330,1231134895,B. Roberson,Brooks Roberson,Roberson,Brooks,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,16,317,264,62,72.3,41,46.2,13,16.4,3,0.0,5,8.0,21,20.3
331,1257443072,B. Renfrow,Brett Renfrow,Renfrow,Brett,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,15,332,290,78,71.4,58,45.2,13,16.5,0,0.0,7,8.0,20,21.4
332,1094165504,A. Pingeton,Anthony Pingeton,Pingeton,Anthony,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,15,311,274,76,83.8,53,59.5,13,14.8,1,0.0,9,8.0,23,20.1
333,1239155712,D. Schueler,Dillon Schueler,Schueler,Dillon,P,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,15,382,335,89,93.9,58,63.5,22,20.6,2,0.0,7,8.0,31,25.1
334,1318951936,B. Cleaver,Ben Cleaver,Cleaver,Ben,P,University of Kentucky,UK,5362,Kentucky,BBC,L,L,15,337,292,54,66.2,44,45.8,5,11.1,0,0.0,5,8.0,10,16.5
335,1176066304,J. Middleton,JB Middleton,Middleton,JB,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,16,415,374,65,82.1,45,56.0,9,16.2,3,0.0,8,8.1,20,21.8
336,1692745387,N. Harris,Nate Harris,Harris,Nate,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,13,261,227,55,63.0,39,40.4,9,13.2,1,0.0,6,8.1,16,18.5
337,1154111488,C. Peguero,Chris Peguero,Peguero,Chris,P,University of Dayton,DAY,730194688,Dayton,BBC,R,R,15,390,343,100,90.5,62,60.2,27,20.5,3,0.0,8,8.1,38,25.1
338,1142126848,R. Ojeda,Ricky Ojeda,Ojeda,Ricky,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,29,279,233,49,56.0,30,33.3,13,13.3,0,0.0,6,8.1,19,17.9
339,1084443136,C. Katskee,Cooper Katskee,Katskee,Cooper,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,16,343,306,60,77.0,42,53.0,8,14.3,3,0.0,7,8.1,18,20.0
340,1392733460,J. Sperry,Joe Sperry,Sperry,Joe,P,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,20,243,215,55,53.5,31,30.4,14,13.5,1,0.0,9,8.1,24,19.1
341,1191447040,J. Shineflew,Jaxon Shineflew,Shineflew,Jaxon,P,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,15,247,208,44,52.2,29,32.0,9,11.0,0,0.0,6,8.1,15,16.1
342,1301684992,C. Fitzgerald,Colin Fitzgerald,Fitzgerald,Colin,P,University of Maine,ME,730275840,Maine,BBC,R,R,14,396,348,106,105.7,77,78.0,13,17.5,3,0.0,13,8.1,29,22.5
343,1142994176,L. Peterson,Liam Peterson,Peterson,Liam,P,University of Florida,FLA,730168320,Florida,BBC,R,R,16,305,268,67,66.1,43,42.2,14,14.3,1,0.0,9,8.1,24,19.7
344,1462207411,A. Johnson,Andrew Johnson,Johnson,Andrew,P,University of Southern California,USC,5047,USC,BBC,S,R,22,296,268,78,71.4,55,47.8,15,13.9,3,0.0,6,8.2,24,20.0
345,1195551232,C. Myles,Conor Myles,Myles,Conor,P,UTSA,UTSA,730373120,UTSA,BBC,L,L,17,336,302,87,85.0,66,58.1,12,16.9,1,0.0,8,8.2,21,22.5
346,1196329728,A. Perez,Adan Perez,Perez,Adan,P,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,14,332,270,85,76.1,62,51.5,16,14.7,1,0.0,6,8.2,23,18.6
347,1311169536,M. Patel,Mason Patel,Patel,Mason,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,23,283,257,57,68.9,37,43.8,11,15.4,1,0.0,8,8.2,20,21.5
348,1093159424,B. Curley,Brian Curley,Curley,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,17,271,235,42,54.0,24,32.2,10,12.0,1,0.0,7,8.2,18,17.5
349,1207489536,C. Monke,Carter Monke,Monke,Carter,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,17,271,243,79,73.4,60,48.0,13,15.7,0,0.0,6,8.3,19,21.5
350,1214276096,T. Levesque,Trystan Levesque,Levesque,Trystan,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,16,401,365,92,91.6,63,61.1,21,20.5,1,0.0,7,8.3,29,26.2
351,1179985408,R. Walton,Ryker Walton,Walton,Ryker,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,15,283,234,69,66.7,42,47.4,15,10.0,3,0.0,9,8.3,27,15.1
352,1237056768,C. Hansen,Cole Hansen,Hansen,Cole,P,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,14,312,273,64,75.6,40,54.1,14,11.7,1,0.0,9,8.3,24,17.5
353,1481247285,R. Borberg,Ryan Borberg,Borberg,Ryan,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,16,342,308,75,78.5,58,53.5,12,15.0,0,0.0,5,8.3,17,21.0
354,1230206464,J. Rizzo,John Rizzo,Rizzo,John,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,13,261,237,72,69.1,40,45.0,14,14.2,1,0.0,17,8.3,32,20.4
355,1199765504,C. Christenson,Charlie Christenson,Christenson,Charlie,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,16,371,326,101,73.6,74,48.7,17,14.9,0,0.0,10,8.3,27,20.4
356,1304691713,C. Moore,Cooper Moore,Moore,Cooper,P,University of Kansas,KU,730360064,Kansas,BBC,R,R,15,373,343,91,91.9,69,65.7,17,16.1,0,0.0,5,8.3,22,22.5
357,1211049217,K. Pallares,Kenji Pallares,Pallares,Kenji,P,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,15,309,259,70,66.2,44,45.0,15,11.4,2,0.0,9,8.4,26,16.6
358,1237012736,C. Cheatham,Cole Cheatham,Cheatham,Cole,P,UAB,UAB,730345984,UAB,BBC,L,L,16,306,250,69,63.8,47,41.7,11,12.3,1,0.0,10,8.4,22,16.9
359,1244431523,T. Kapa,Tyler Kapa,Kapa,Tyler,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,17,323,278,87,67.9,65,45.6,10,12.4,5,0.0,7,8.4,22,17.9
360,1204946432,P. Forbes,Patrick Forbes,Forbes,Patrick,P,University of Louisville,LOU,5467,Louisville,BBC,R,R,15,319,270,59,55.9,39,36.3,13,10.2,0,0.0,7,8.4,20,15.7
361,1155468544,R. Beuter,Reece Beuter,Beuter,Reece,P,University of Iowa,IOWA,1232,Iowa,BBC,R,R,13,259,230,45,57.7,28,39.5,6,8.7,1,0.0,10,8.4,17,15.1
362,1217850368,W. Jones,Will Jones,Jones,Will,P,Northeastern University,NE,343,Northeastern,BBC,L,L,15,290,258,55,69.7,36,45.2,15,14.4,1,0.0,3,8.4,19,20.3
363,1184713472,C. Fang,Callan Fang,Fang,Callan,P,Harvard University,HARV,5450,Harvard,BBC,L,R,11,280,250,68,62.8,42,42.1,18,10.8,0,0.0,8,8.4,26,17.1
364,1100466176,J. Mitrovich,Justin Mitrovich,Mitrovich,Justin,P,Elon University,ELON,730252544,Elon,BBC,R,R,15,376,327,73,81.6,47,55.6,19,15.8,2,0.0,5,8.5,26,21.1
365,1643596490,N. Mertens,Nathan Mertens,Mertens,Nathan,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,15,315,302,71,76.1,49,51.8,12,14.2,2,0.0,8,8.5,22,21.7
366,1152901632,C. Keel,Christian Keel,Keel,Christian,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,266,217,72,61.2,43,39.3,16,12.2,2,0.0,11,8.5,29,16.9
367,1428256371,D. Fischer,Dillon Fischer,Fischer,Dillon,P,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,17,397,338,101,100.0,70,71.7,16,17.7,4,0.0,11,8.5,31,22.3
368,1198527488,J. Hanson,Jared Hanson,Hanson,Jared,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,15,256,235,72,74.9,47,47.5,17,16.9,3,0.0,5,8.5,25,23.3
369,1307648256,J. Cebert,Jack Cebert,Cebert,Jack,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,19,268,239,61,61.1,51,45.9,4,5.7,0,0.0,6,8.5,10,12.7
370,1087364096,B. Lanman,Brett Lanman,Lanman,Brett,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,15,336,291,79,74.3,49,49.0,16,15.3,2,0.0,12,8.5,30,20.6
371,1162060288,T. Hansen,Trevor Hansen,Hansen,Trevor,P,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,16,402,356,87,101.1,61,71.3,16,19.2,2,0.0,8,8.5,26,24.6
372,1192664576,R. DeSanto,Ryan DeSanto,DeSanto,Ryan,P,Penn State University,PSU,5326,Penn State,BBC,L,L,15,313,258,52,57.7,32,35.6,11,12.2,1,0.0,8,8.6,20,17.1
373,1653486670,N. Love,Nathan Love,Love,Nathan,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,15,328,296,71,89.0,47,62.5,13,16.2,2,0.0,9,8.6,24,22.4
374,1136816896,T. Brachbill,Ty Brachbill,Brachbill,Ty,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,14,351,301,93,83.1,63,56.2,16,16.9,2,0.0,12,8.6,30,21.8
375,1269627392,B. Hamilton,Brady Hamilton,Hamilton,Brady,P,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,16,352,284,71,72.6,55,51.5,11,11.1,0,0.0,5,8.6,16,15.8
376,1176403456,T. Santana,Thomas Santana,Santana,Thomas,P,Columbia University,CLMB,730319104,Columbia,BBC,R,R,14,285,240,64,60.2,39,37.2,15,13.0,1,0.0,9,8.6,25,18.2
377,1313524992,E. Marmie,Ethan Marmie,Marmie,Ethan,P,Cal Poly,CP,5487,Cal Poly,BBC,R,R,16,319,266,74,75.7,61,54.2,7,11.8,0,0.0,7,8.6,14,17.0
378,1162130176,T. Hess,Tate Hess,Hess,Tate,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,20,283,253,74,74.0,49,51.0,15,12.9,1,0.0,9,8.6,25,19.2
379,1112928512,S. Gonzalez,Sebastian Gonzalez,Gonzalez,Sebastian,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,18,249,223,62,82.8,44,58.8,11,13.9,1,0.0,6,8.6,18,20.1
380,1324687616,J. Skapinetz,Joe Skapinetz,Skapinetz,Joe,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,296,254,72,63.8,45,42.6,15,11.1,3,0.0,9,8.6,27,16.9
381,1176124160,T. LaPour,Tommy LaPour,LaPour,Tommy,P,Texas Christian University,TCU,5045,TCU,BBC,R,R,16,376,338,78,89.7,56,60.9,15,18.2,1,0.0,6,8.6,22,24.1
382,1132735744,C. Ingram,Chase Ingram,Ingram,Chase,P,UAB,UAB,730345984,UAB,BBC,R,R,15,266,242,76,68.3,43,42.1,22,16.1,1,0.0,10,8.6,33,22.5
383,1090996736,J. Guardado,Jakob Guardado,Guardado,Jakob,TWP,University of the Pacific,PAC,730386944,Pacific,BBC,L,R,17,266,230,66,65.5,36,41.8,15,13.4,2,0.0,13,8.6,30,19.0
384,1303446784,C. Clarke,Collin Clarke,Clarke,Collin,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,13,293,254,60,75.4,40,51.3,11,14.0,2,0.0,7,8.6,20,19.6
385,1236990464,D. Reid,Dominick Reid,Reid,Dominick,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,15,362,323,71,68.4,44,48.0,17,10.2,2,0.0,8,8.7,27,16.9
386,1304813312,A. Rudd,Andrew Rudd,Rudd,Andrew,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,23,278,260,71,73.2,45,49.1,19,13.8,1,0.0,6,8.7,26,21.1
387,1277834240,K. Opanel,Kevin Opanel,Opanel,Kevin,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,14,267,231,63,69.8,46,45.0,9,14.7,1,0.0,7,8.7,17,20.2
388,1311168256,F. Ciccone,Frank Ciccone,Ciccone,Frank,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,14,331,281,74,83.1,54,55.9,14,16.9,0,0.0,6,8.7,20,21.7
